n, t
2, 0.004
3, 0.003
4, 0.003
5, 0.004
6, 0.003
7, 0.008
8, 0.004
9, 0.009
10, 0.006
11, 0.006
12, 0.007
13, 0.007
14, 0.007
15, 0.010
16, 0.008
17, 0.006
18, 0.006
19, 0.006
20, 0.004
21, 0.006
22, 0.006
23, 0.006
24, 0.009
25, 0.011
26, 0.007
27, 0.007
28, 0.007
29, 0.008
30, 0.007
31, 0.016
32, 0.014
33, 0.007
34, 0.005
35, 0.008
36, 0.010
37, 0.011
38, 0.015
39, 0.015
40, 0.016
41, 0.009
42, 0.008
43, 0.014
44, 0.019
45, 0.010
46, 0.007
47, 0.010
48, 0.005
49, 0.007
50, 0.007
51, 0.005
52, 0.007
53, 0.009
54, 0.012
55, 0.011
56, 0.028
57, 0.037
58, 0.008
59, 0.008
60, 0.078
61, 0.006
62, 0.009
63, 0.008
64, 0.028
65, 0.026
66, 0.008
67, 0.012
68, 0.008
69, 0.016
70, 0.008
71, 0.022
72, 0.008
73, 0.004
74, 0.008
75, 0.012
76, 0.010
77, 0.016
78, 0.076
79, 0.060
80, 0.009
81, 0.009
82, 0.091
83, 0.020
84, 0.019
85, 0.016
86, 0.011
87, 0.013
88, 0.013
89, 0.006
90, 0.010
91, 0.017
92, 0.008
93, 0.005
94, 0.015
95, 0.018
96, 0.013
97, 0.008
98, 0.005
99, 0.011
100, 0.012
101, 0.005
102, 0.008
103, 0.019
104, 0.011
105, 0.014
106, 0.019
107, 0.007
108, 0.013
109, 0.005
110, 0.176
111, 0.071
112, 0.011
113, 0.017
114, 0.008
115, 0.013
116, 0.007
117, 0.029
118, 0.005
119, 0.008
120, 0.013
121, 0.008
122, 0.031
123, 0.008
124, 0.005
125, 0.005
126, 0.016
127, 0.012
128, 0.024
129, 0.012
130, 0.006
131, 0.008
132, 0.025
133, 0.015
134, 0.018
135, 0.011
136, 0.006
137, 0.006
138, 0.008
139, 0.008
140, 0.012
141, 0.011
142, 0.012
143, 0.006
144, 0.013
145, 0.006
146, 0.005
147, 0.006
148, 0.007
149, 0.016
150, 0.006
151, 0.007
152, 0.013
153, 0.005
154, 0.026
155, 0.022
156, 0.009
157, 0.014
158, 0.006
159, 0.007
160, 0.010
161, 0.020
162, 0.009
163, 0.009
164, 0.007
165, 0.017
166, 0.011
167, 0.006
168, 0.006
169, 0.009
170, 0.032
171, 0.010
172, 0.006
173, 0.006
174, 0.007
175, 0.009
176, 0.014
177, 0.006
178, 0.006
179, 0.014
180, 0.005
181, 0.013
182, 0.007
183, 0.005
184, 0.007
185, 0.006
186, 0.013
187, 0.011
188, 0.010
189, 0.011
190, 0.017
191, 0.006
192, 0.014
193, 0.007
194, 0.015
195, 0.019
196, 0.007
197, 0.007
198, 0.009
199, 0.013
